market_date,period,da_actual,da_pred,rt_actual,rt_pred,spread_actual,spread_pred,spread_probability
2026-06-17,20,519.06,556.9886064529419,538.492,622.0089802742004,19.432000000000016,65.02037382125854,0.7967051863670349
2026-06-17,21,523.37,557.2640810012817,549.829,590.6048812866211,26.458999999999946,33.340800285339355,0.6727570295333862
2026-06-17,22,570.0,535.1422834396362,542.447,537.9093334078789,-27.552999999999997,2.7670499682426453,0.30951589345932007
2026-06-17,23,574.56,538.6287913322449,536.59,542.0286769866943,-37.969999999999914,3.399885654449463,0.19617806375026703
2026-06-17,24,594.5,540.9509677886963,544.118,557.0094842910767,-50.38199999999995,16.05851650238037,0.40691709518432617
2026-06-18,1,500.0,583.2416343688965,416.307,567.6953983306885,-83.69299999999998,-15.546236038208008,0.35040807723999023
2026-06-18,2,448.96,564.0437188148499,400.529,547.2848596572876,-48.43099999999998,-16.758859157562256,0.4158458113670349
2026-06-18,3,444.4,569.9266495704651,393.695,565.1888980865479,-50.704999999999984,-4.737751483917236,0.5135213732719421
2026-06-18,4,444.45,587.2083969116211,391.295,565.7246626615524,-53.15499999999997,-21.483734250068665,0.2659831643104553
2026-06-18,5,450.0,590.092230796814,393.194,587.5089888572693,-56.80599999999998,-2.5832419395446777,0.653882622718811
2026-06-18,6,450.0,584.0494365692139,383.466,552.3813849389553,-66.53399999999999,-31.66805163025856,0.446491539478302
2026-06-18,7,447.0,485.7534556388855,339.8,426.52114510536194,-107.19999999999999,-59.23231053352356,0.3807705342769623
2026-06-18,8,452.0,393.35888290405273,363.062,353.51978650689125,-88.93799999999999,-39.839096397161484,0.4265172481536865
2026-06-18,9,472.5,366.5827405452728,392.748,396.8590525314212,-79.75200000000001,30.276311986148357,0.5776126980781555
2026-06-18,10,450.95,356.9368290901184,396.857,373.67139879614115,-54.09299999999996,16.73456970602274,0.6802139282226562
2026-06-18,11,455.0,332.94103240966797,393.043,407.1432977616787,-61.956999999999994,74.20226535201073,0.8360930681228638
2026-06-18,12,415.0,313.7539858818054,382.209,336.9455391764641,-32.791,23.19155329465866,0.7070541977882385
2026-06-18,13,385.0,275.5765700340271,357.41,314.101793885231,-27.589999999999975,38.52522385120392,0.8025230169296265
2026-06-18,14,397.0,312.9343228340149,378.769,331.74093770980835,-18.230999999999995,18.806614875793457,0.6528581380844116
2026-06-18,15,383.5,342.13203859329224,384.457,395.71586084365845,0.9569999999999936,53.58382225036621,0.8488413691520691
2026-06-18,16,451.96,367.9476885795593,399.8,419.3676985502243,-52.15999999999997,51.42000997066498,0.8741563558578491
2026-06-18,17,465.8,489.31033539772034,401.937,499.6853997707367,-63.863,10.375064373016357,0.690642237663269
2026-06-18,18,500.0,503.0341649055481,402.08,487.7356276512146,-97.92000000000002,-15.298537254333496,0.439171701669693
2026-06-18,19,520.0,491.0672104358673,409.448,528.14617228508,-110.55200000000002,37.07896184921265,0.6566073298454285
2026-06-18,20,497.99,507.1584768295288,410.111,518.4827711582184,-87.87900000000002,11.324294328689575,0.5235669016838074
2026-06-18,21,507.0,511.2351429462433,405.319,492.6711390018463,-101.68099999999998,-18.564003944396973,0.25089603662490845
2026-06-18,22,505.25,524.9242235422134,405.494,514.5401476621628,-99.75599999999997,-10.38407588005066,0.10029927641153336
2026-06-18,23,498.38,514.8933081626892,401.473,497.9115135669708,-96.90699999999998,-16.981794595718384,0.08609017729759216
2026-06-18,24,495.0,515.8156094551086,406.112,507.3689160346985,-88.88799999999998,-8.446693420410156,0.20719163119792938
2026-06-19,1,426.5,464.9668927192688,386.102,377.1909222602844,-40.398000000000025,-87.77597045898438,0.036539919674396515
2026-06-19,2,410.0,446.5230965614319,381.265,381.4313588142395,-28.735000000000014,-65.09173774719238,0.01863056980073452
2026-06-19,3,412.15,433.1032860279083,374.625,365.2783787250519,-37.52499999999998,-67.82490730285645,0.011744251474738121
2026-06-19,4,406.5,437.9246435165405,372.93,380.1622829437256,-33.56999999999999,-57.76236057281494,0.01575813628733158
2026-06-19,5,420.5,446.45018124580383,371.309,377.7123875617981,-49.190999999999974,-68.73779368400574,0.01497976016253233
2026-06-19,6,420.41,451.2859606742859,364.397,388.35087966918945,-56.013000000000034,-62.935081005096436,0.03609131649136543
2026-06-19,7,380.0,438.9965863227844,358.483,348.89113545417786,-21.516999999999996,-90.10545086860657,0.04384889453649521
2026-06-19,8,394.38,445.5951671600342,372.886,401.52447605133057,-21.49399999999997,-44.07069110870361,0.0221861619502306
2026-06-19,9,450.0,439.21147203445435,382.978,389.08986312150955,-67.02199999999999,-50.121608912944794,0.05838548019528389
2026-06-19,10,465.28,447.011212348938,396.767,404.7851297259331,-68.51299999999998,-42.22608262300491,0.06703512370586395
2026-06-19,11,455.5,445.6610404253006,385.056,403.72095292806625,-70.44400000000002,-41.940087497234344,0.05708760395646095
2026-06-19,12,451.0,424.5287780761719,379.138,380.26751828193665,-71.86200000000002,-44.26125979423523,0.08729176223278046
2026-06-19,13,418.0,417.2227246761322,366.008,327.75006756186485,-51.99200000000002,-89.47265711426735,0.02846411243081093
2026-06-19,14,430.0,415.4160633087158,376.857,304.55495023727417,-53.14299999999997,-110.86111307144165,0.03633810952305794
2026-06-19,15,450.75,423.2269915342331,370.322,304.85253831744194,-80.428,-118.37445321679115,0.04786662757396698
2026-06-19,16,491.25,428.0667791366577,356.862,371.5765565931797,-134.38799999999998,-56.49022254347801,0.24533534049987793
2026-06-19,17,404.0,454.0291793346405,348.118,357.57967603206635,-55.882000000000005,-96.44950330257416,0.041270554065704346
2026-06-19,18,423.05,478.258593082428,357.396,363.6545430421829,-65.654,-114.60405004024506,0.00785356666892767
2026-06-19,19,432.0,476.7722440958023,371.56,387.0667521953583,-60.44,-89.70549190044403,0.018301310017704964
2026-06-19,20,448.0,473.49097180366516,380.882,385.81892827153206,-67.118,-87.6720435321331,0.02066974900662899
2026-06-19,21,444.5,477.69375985860825,387.025,402.317561596632,-57.47500000000002,-75.37619826197624,0.035847876220941544
2026-06-19,22,430.5,479.0616518855095,391.007,420.2975106239319,-39.492999999999995,-58.764141261577606,0.05862600356340408
2026-06-19,23,439.49,474.56749176979065,383.505,425.3689898401499,-55.985000000000014,-49.19850192964077,0.07195532321929932
2026-06-19,24,445.5,474.39512634277344,385.792,440.9959143474698,-59.70800000000003,-33.39921199530363,0.11225079745054245
2026-06-20,1,502.98,448.7238521575928,477.843,414.85275650024414,-25.137,-33.87109565734863,0.0444556400179863
2026-06-20,2,500.0,449.76488876342773,456.687,420.6741638183594,-43.31299999999999,-29.09072494506836,0.05891700088977814
2026-06-20,3,463.85,436.92216396331787,410.495,405.6145086288452,-53.35500000000002,-31.307655334472656,0.05420411005616188
2026-06-20,4,443.12,432.2403202056885,383.252,398.7748384475708,-59.867999999999995,-33.465481758117676,0.026574745774269104
2026-06-20,5,453.12,455.2449378967285,406.229,428.47391295433044,-46.89100000000002,-26.77102494239807,0.04214765131473541
2026-06-20,6,455.0,450.92219257354736,393.203,448.46282824873924,-61.797000000000025,-2.4593643248081207,0.07704225927591324
2026-06-20,7,318.5,384.9906463623047,116.861,323.6493593454361,-201.639,-61.34128701686859,0.24326764047145844
2026-06-20,8,300.0,306.77836322784424,7.669,212.68204641342163,-292.331,-94.09631681442261,0.13149863481521606
2026-06-20,9,200.0,200.6280059814453,-77.013,86.87755882740021,-277.01300000000003,-113.7504471540451,0.06092279776930809
2026-06-20,10,201.0,23.618967056274414,-80.0,-65.88225960731506,-281.0,-89.50122666358948,0.04576467350125313
2026-06-20,11,141.0,9.94069528579712,-80.0,-42.03797423839569,-221.0,-51.97866952419281,0.03130630776286125
2026-06-20,12,63.5,11.452678680419922,29.781,-6.592366456985474,-33.719,-18.045045137405396,0.11732518672943115
2026-06-20,13,169.0,6.706355333328247,-80.0,-17.56787234544754,-249.0,-24.274227678775787,0.053565170615911484
2026-06-20,14,172.5,16.804773807525635,-80.0,-2.4127126932144165,-252.5,-19.21748650074005,0.06073808670043945
2026-06-20,15,170.0,145.17766761779785,102.706,40.66573756933212,-67.294,-104.51193004846573,0.2113490104675293
2026-06-20,16,289.24,334.7570331096649,296.831,274.9092400074005,7.591000000000008,-59.847793102264404,0.10301719605922699
2026-06-20,17,385.57,432.2920560836792,376.825,419.5205183625221,-8.745000000000005,-12.771537721157074,0.0764589011669159
2026-06-20,18,495.55,500.86190605163574,445.686,472.6901332139969,-49.86400000000003,-28.171772837638855,0.071298748254776
2026-06-20,19,500.0,494.79749631881714,506.596,485.5912036895752,6.596000000000004,-9.206292629241943,0.21454113721847534
2026-06-20,20,510.0,501.67687940597534,502.486,484.7846491932869,-7.51400000000001,-16.892230212688446,0.15413273870944977
2026-06-20,21,484.87,505.77849793434143,509.51,495.49665039777756,24.639999999999986,-10.281847536563873,0.25046390295028687
2026-06-20,22,476.95,494.143625497818,508.005,479.3251633942127,31.055000000000007,-14.81846210360527,0.19625413417816162
2026-06-20,23,492.0,493.5395588874817,518.743,484.349717348814,26.743000000000052,-9.189841538667679,0.19622892141342163
2026-06-20,24,502.5,498.6698360443115,523.21,499.77168077230453,20.710000000000036,1.1018447279930115,0.24607926607131958
2026-06-21,1,438.35,496.4472131729126,416.346,547.2056875228882,-22.00400000000002,50.758474349975586,0.8324674367904663
2026-06-21,2,434.3,479.9814796447754,404.516,502.7322356700897,-29.783999999999992,22.75075602531433,0.5393765568733215
2026-06-21,3,423.7,475.69686126708984,394.893,499.0336022377014,-28.807000000000016,23.336740970611572,0.5937248468399048
2026-06-21,4,396.0,469.02764892578125,386.39,495.58789253234863,-9.610000000000014,26.560243606567383,0.5982109904289246
2026-06-21,5,439.72,461.2088747024536,382.759,462.2883973121643,-56.96100000000001,1.0795226097106934,0.29171645641326904
2026-06-21,6,362.5,451.3681640625,371.208,433.85202956199646,8.708000000000027,-17.51613450050354,0.23508229851722717
2026-06-21,7,328.15,417.8813419342041,349.24,343.16408598423004,21.090000000000032,-74.71725594997406,0.06445422768592834
2026-06-21,8,351.68,401.71641635894775,343.533,378.9620273113251,-8.146999999999991,-22.75438904762268,0.11526700854301453
2026-06-21,9,428.0,408.5724205970764,354.789,419.35078263282776,-73.21100000000001,10.778362035751343,0.24321207404136658
2026-06-21,10,425.66,390.71069383621216,364.265,402.97043895721436,-61.39500000000004,12.259745121002197,0.14601323008537292
2026-06-21,11,429.96,402.8625214099884,374.474,421.11797618865967,-55.48599999999999,18.255454778671265,0.2664391100406647
2026-06-21,12,424.5,397.6066482067108,386.071,362.52554190158844,-38.428999999999974,-35.081106305122375,0.21794302761554718
2026-06-21,13,452.45,380.77200174331665,372.617,366.56938576698303,-79.83299999999997,-14.202615976333618,0.1722303032875061
2026-06-21,14,427.5,436.9099682569504,387.757,438.6955688595772,-39.742999999999995,1.7856006026268005,0.10474231094121933
